"file_path","start_time","end_time","species_name","confidence"
"soundscape.wav","00:00:00.00","00:00:03.00","Poecile atricapillus_Black-capped Chickadee",0.814058
"soundscape.wav","00:00:03.00","00:00:06.00","Poecile atricapillus_Black-capped Chickadee",0.308293
"soundscape.wav","00:00:06.00","00:00:09.00","Baeolophus bicolor_Tufted Titmouse",0.186425
"soundscape.wav","00:00:09.00","00:00:12.00","Haemorhous mexicanus_House Finch",0.639385
"soundscape.wav","00:00:18.00","00:00:21.00","Cyanocitta cristata_Blue Jay",0.435254
"soundscape.wav","00:00:21.00","00:00:24.00","Cyanocitta cristata_Blue Jay",0.32908
"soundscape.wav","00:00:21.00","00:00:24.00","Haemorhous mexicanus_House Finch",0.186717
"soundscape.wav","00:00:24.00","00:00:27.00","Cyanocitta cristata_Blue Jay",0.174919
"soundscape.wav","00:00:27.00","00:00:30.00","Junco hyemalis_Dark-eyed Junco",0.218653
"soundscape.wav","00:00:33.00","00:00:36.00","Junco hyemalis_Dark-eyed Junco",0.459067
"soundscape.wav","00:00:36.00","00:00:39.00","Junco hyemalis_Dark-eyed Junco",0.353791
"soundscape.wav","00:00:39.00","00:00:42.00","Haemorhous mexicanus_House Finch",0.253214
"soundscape.wav","00:00:42.00","00:00:45.00","Junco hyemalis_Dark-eyed Junco",0.737538
"soundscape.wav","00:00:48.00","00:00:51.00","Cyanocitta cristata_Blue Jay",0.129333
"soundscape.wav","00:00:51.00","00:00:54.00","Haemorhous mexicanus_House Finch",0.256425
"soundscape.wav","00:00:54.00","00:00:57.00","Haemorhous mexicanus_House Finch",0.607081
"soundscape.wav","00:00:57.00","00:01:00.00","Haemorhous mexicanus_House Finch",0.161537
"soundscape.wav","00:01:00.00","00:01:03.00","Junco hyemalis_Dark-eyed Junco",0.554968
"soundscape.wav","00:01:09.00","00:01:12.00","Haemorhous mexicanus_House Finch",0.29142
"soundscape.wav","00:01:12.00","00:01:15.00","Haemorhous mexicanus_House Finch",0.563969
"soundscape.wav","00:01:18.00","00:01:21.00","Haemorhous mexicanus_House Finch",0.256064
"soundscape.wav","00:01:24.00","00:01:27.00","Haemorhous mexicanus_House Finch",0.280079
"soundscape.wav","00:01:30.00","00:01:33.00","Spinus tristis_American Goldfinch",0.419017
"soundscape.wav","00:01:33.00","00:01:36.00","Haemorhous mexicanus_House Finch",0.31684
"soundscape.wav","00:01:36.00","00:01:39.00","Spinus tristis_American Goldfinch",0.47652
"soundscape.wav","00:01:39.00","00:01:42.00","Haemorhous mexicanus_House Finch",0.157382
"soundscape.wav","00:01:42.00","00:01:45.00","Haemorhous mexicanus_House Finch",0.445823
"soundscape.wav","00:01:45.00","00:01:48.00","Poecile atricapillus_Black-capped Chickadee",0.178995
"soundscape.wav","00:01:57.00","00:02:00.00","Spinus tristis_American Goldfinch",0.392406
